"FileName","Type","Path","Status","Notes","Critical"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\employees\route.ts","Issues Found","../../../../../../../app/api/payments/b2b/employees/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\b2b\route.ts","Issues Found","../../../../../../app/api/payments/b2b/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\student\route.ts","Issues Found","../../../../../../app/api/payments/student/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\payments\route.ts","Issues Found","../../../../../app/api/payments/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\supervisor\stats\route.ts","Issues Found","../../../../../../app/api/supervisor/stats/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\supervisor\route.ts","Issues Found","../../../../../app/api/supervisor/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\test-supabase\route.ts","Issues Found","../../../../../app/api/test-supabase/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\trainer\friction-report\route.ts","Issues Found","../../../../../../app/api/trainer/friction-report/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\trainer\verify-milestone\route.ts","Issues Found","../../../../../../app/api/trainer/verify-milestone/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\trainer\route.ts","Issues Found","../../../../../app/api/trainer/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\vault\upload\route.ts","Issues Found","../../../../../../app/api/vault/upload/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\vault\route.ts","Issues Found","../../../../../app/api/vault/route.js","True"
"route.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\api\[entityId]\route.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\certificate\page.ts","Issues Found","../../../../app/certificate/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\certification\page.ts","Issues Found","../../../../app/certification/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\checkout\page.ts","Issues Found","../../../../app/checkout/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\courses\[courseId]\analysis\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\courses\[courseId]\capture\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\courses\[courseId]\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\courses\page.ts","Issues Found","../../../../app/courses/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\curriculum\page.ts","Issues Found","../../../../app/curriculum/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\dashboard\b2b\page.ts","Issues Found","../../../../../app/dashboard/b2b/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\dashboard\page.ts","Issues Found","../../../../app/dashboard/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\diagnostic\upload\page.ts","Issues Found","../../../../../app/diagnostic/upload/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\diagnostic\page.ts","Issues Found","../../../../app/diagnostic/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\entities\[entityId]\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\entities\page.ts","Issues Found","../../../../app/entities/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\login\page.ts","Issues Found","../../../../app/login/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\menu\page.ts","Issues Found","../../../../app/menu/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\modules\fluency\page.ts","Issues Found","../../../../../app/modules/fluency/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\modules\fundamentals\page.ts","Issues Found","../../../../../app/modules/fundamentals/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\modules\logic\page.ts","Issues Found","../../../../../app/modules/logic/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\modules\page.ts","Issues Found","../../../../app/modules/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\portal\page.ts","Issues Found","../../../../app/portal/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\reports\page.ts","Issues Found","../../../../app/reports/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\reset-password\page.ts","Issues Found","../../../../app/reset-password/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\settings\page.ts","Issues Found","../../../../app/settings/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\assessment\module-1\page.ts","Issues Found","../../../../../../app/student/assessment/module-1/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\assessment\module-2\voice-audit\page.ts","Issues Found","../../../../../../../app/student/assessment/module-2/voice-audit/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\assessment\module-2\page.ts","Issues Found","../../../../../../app/student/assessment/module-2/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\assessment\page.ts","Issues Found","../../../../../app/student/assessment/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\certification\page.ts","Issues Found","../../../../../app/student/certification/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\dashboard\page.ts","Issues Found","../../../../../app/student/dashboard/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\final-exam\page.ts","Issues Found","../../../../../app/student/final-exam/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\glossary\page.ts","Issues Found","../../../../../app/student/glossary/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\portal\page.ts","Issues Found","../../../../../app/student/portal/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\student\page.ts","Issues Found","../../../../app/student/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\trainer\analytics\page.ts","Issues Found","../../../../../app/trainer/analytics/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\trainer\ingestion\page.ts","Issues Found","../../../../../app/trainer/ingestion/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\trainer\page.ts","Issues Found","../../../../app/trainer/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\transcript\page.ts","Issues Found","../../../../app/transcript/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\verify\[verifyId]\page.ts","OK","","False"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\verify\page.ts","Issues Found","../../../../app/verify/page.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\visitor\page.ts","Issues Found","../../../../app/visitor/page.js","True"
"layout.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\layout.ts","Issues Found","../../../app/layout.js","True"
"page.ts","UI Component","D:\cbtc-final\cbtc-lms\.next\types\app\page.ts","Issues Found","../../../app/page.js","True"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\readiness\page.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\audit\page.tsx","OK","","False"
"GodModeGuard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\auth\GodModeGuard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\components\mobile\SecureUpload.tsx","OK","","False"
"admindashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\dashboard\admindashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\mobile\SecureUpload.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\components\Sidebar.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\mobile\SecureUpload.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\components\Sidebar.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\inspect\page.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\courses\page.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\mobile\components\AdminDashboard.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\mobile\SecureUpload.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\portal\components\AdminDashboard.tsx","OK","","False"
"AdminDashboard.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\components\AdminDashboard.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\dashboard\page.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\components\mobile\SecureUpload.tsx","OK","","False"
"SecureUpload.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\components\mobile\SecureUpload.tsx","OK","","False"
"page.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\integrity\page.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\components\Sidebar.tsx","OK","","False"
"Sidebar.tsx","UI Component","D:\cbtc-final\cbtc-lms\app\admin\student\components\components\components\mobile\components\Sidebar.tsx","OK","","False"
